split_id,split_name,split_abbreviation,category_name,category_displayName,stat_name,stat_displayName,stat_abbreviation,stat_value,stat_displayValue,stat_perGameValue,stat_perGameDisplayValue,stat_rank,stat_rankDisplayValue
0,All Splits,Any,general,General,fumbles,Fumbles,FUM,22,22,1,1,13,13th
0,All Splits,Any,general,General,fumblesLost,Fumbles Lost,LST,6,6,,,25,Tied-25th
0,All Splits,Any,general,General,fumblesForced,Forced Fumbles,FF,15,15,,,28,Tied-28th
0,All Splits,Any,general,General,fumblesRecovered,Fumbles Recovered,FR,4,4,,,31,31st
0,All Splits,Any,general,General,fumblesTouchdowns,Fumbles Touchdowns,FTD,3,3,,,1,1st
0,All Splits,Any,general,General,gamesPlayed,Games Played,GP,17,17,,,1,Tied-1st
0,All Splits,Any,general,General,offensiveTwoPtReturns,Two Point Returns,2PTR,0,0,,,1,Tied-1st
0,All Splits,Any,general,General,offensiveFumblesTouchdowns,Fumbles Touchdowns,OFTD,0,0,,,4,Tied-4th
0,All Splits,Any,general,General,defensiveFumblesTouchdowns,Fumbles Touchdowns,DFTD,3,3,,,1,1st
0,All Splits,Any,passing,Passing,avgGain,Average Gain,AG,586.111,586.1,,,12,12th
0,All Splits,Any,passing,Passing,completionPct,Completion Percentage,CMP%,62.146,62.1,62.26900100708008,62.269,25,25th
0,All Splits,Any,passing,Passing,completions,Completions,CMP,307,307,18,18,31,31st
0,All Splits,Any,passing,Passing,ESPNQBRating,ESPN Quarterback Rating,EQBR,4685,4685.0,,,26,26th
0,All Splits,Any,passing,Passing,interceptionPct,Interception Percentage,INT%,2.024,2.02,1.9119999408721924,1.912,11,11th
0,All Splits,Any,passing,Paassing,interceptions,Interceptions,INT,10,10,,,6,6th
0,All Splits,Any,passing,Passing,longPassing,Longest Pass,LNG,91,91,37,37,1,1st
0,All Splits,Any,passing,Passing,miscYards,Miscellaneous Yards,MISC,0,0,,,1,Tied-1st
0,All Splits,Any,passing,Passing,netPassingYards,Net Passing Yards,NYDS,3404,"3,404",200,200,25,25th
0,All Splits,Any,passing,Passing,netPassingYardsPerGame,Net Passing Yards Per Game,NYDS/G,200.23529,200.2,,,25,25th
0,All Splits,Any,passing,Passing,netTotalYards,Net Total Yards,NTYDS,6119,"6,119",359,359,14,14th
0,All Splits,Any,passing,Passing,netYardsPerGame,Net Yards Per Game,NTYDS/G,359.94116,359.9,,,14,14th
0,All Splits,Any,passing,Passing,passingAttempts,Passing Attempts,ATT,494,494,29,29,32,32nd
0,All Splits,Any,passing,Passing,passingBigPlays,Passing Big Plays,BIGP,51,51,,,16,Tied-16th
0,All Splits,Any,passing,Passing,passingFirstDowns,Passing 1st downs,FIRST,167,167,9,9,28,Tied-28th
0,All Splits,Any,passing,Passing,passingFumbles,Passing Fumbles,FUM,9,9,,,19,Tied-19th
0,All Splits,Any,passing,Passing,passingFumblesLost,Passing Fumbles Lost,FL,2,2,,,27,Tied-27th
0,All Splits,Any,passing,Passing,passingTouchdownPct,Passing Touchdown %,TD%,4.049,4.05,3.4482758045196533,3.448,17,17th
0,All Splits,Any,passing,Passing,passingTouchdowns,Passing Touchdowns,TD,20,20,1,1,25,Tied-25th
0,All Splits,Any,passing,Passing,passingYards,Passing Yards,YDS,3585,"3,585",210,210,29,29th
0,All Splits,Any,passing,Passing,passingYardsAfterCatch,Passing Yards After Catch,PYAC,1741,"1,741",,,22,Tied-22nd
0,All Splits,Any,passing,Passing,passingYardsAtCatch,Passing Yards At Catch,PY@C,1844,"1,844",210,210,28,28th
0,All Splits,Any,passing,Passing,passingYardsPerGame,Passing Yards Per Game,YDS/G,210.882,210.9,,,29,29th
0,All Splits,Any,passing,Passing,QBRating,Passer Rating,RTG,89.173,89.2,95.4741439819336,95.474,19,19th
0,All Splits,Any,passing,Passing,sacks,Total Sacks,SACK,31,31,1,1,25,Tied-25th
0,All Splits,Any,passing,Passing,sackYardsLost,Sack Yards Lost,SYL,181,181,10,10,5,5th
0,All Splits,Any,passing,Passing,netPassingAttempts,Net Passing Attempts,NATT,525,525,30,30,7,7th
0,All Splits,Any,passing,Passing,teamGamesPlayed,Team Games Played,TGP,17,17,,,1,Tied-1st
0,All Splits,Any,passing,Passing,totalOffensivePlays,Total Offensive Plays,TOP,1075,1075,62,62,9,9th
0,All Splits,Any,passing,Passing,totalPoints,Total Points,PTS,444,444,27,27,12,12th
0,All Splits,Any,passing,Passing,totalPointsPerGame,Total Points Per Game,TP,26.118,26.1,,,12,12th
0,All Splits,Any,passing,Passing,totalTouchdowns,Total Touchdowns,TD,50,50,2,2,12,Tied-12th
0,All Splits,Any,passing,Passing,totalYards,Total Yards,TYDS,6300,"6,300",359,359,14,14th
0,All Splits,Any,passing,Passing,totalYardsFromScrimmage,Total Yards From Scrimmage,CMP,6300,6300,369,369,1,Tied-1st
0,All Splits,Any,passing,Passing,twoPointPassConvs,Two Point Pass Conversions,2PTPC,4,4,,,2,Tied-2nd
0,All Splits,Any,passing,Passing,twoPtPass,Two Point Pass,2PTP,3,3,,,3,Tied-3rd
0,All Splits,Any,passing,Passing,twoPtPassAttempts,Two Point Pass Attempts,2PTPA,4,4,1,1,8,Tied-8th
0,All Splits,Any,passing,Passing,yardsFromScrimmagePerGame,Yards From Scrimmage Per Game,SCRIM/G,370.58823,371,,,14,14th
0,All Splits,Any,passing,Passing,yardsPerCompletion,Yards Per Completion,CMP,11.678,11.7,11.190999984741211,11.191,6,6th
0,All Splits,Any,passing,Passing,yardsPerGame,Yards Per Game,YDS/G,370.588,370.6,,,14,14th
0,All Splits,Any,passing,Passing,yardsPerPassAttempt,Yards Per Pass Attempt,AVG,7.257,7.3,7.35099983215332,7.351,14,14th
0,All Splits,Any,passing,Passing,netYardsPerPassAttempt,Net Yards Per Pass Attempt,NYDS/PA,6.483809523809524,6.5,6.666666666666667,6.667,3,3rd
0,All Splits,Any,passing,Passing,quarterbackRating,Quarterback Rating,RAT,89.173,89.2,95.4741439819336,95.474,19,19th
0,All Splits,Any,rushing,Rushing,avgGain,Average Gain,AG,586.111,586.1,,,12,12th
0,All Splits,Any,rushing,Rushing,ESPNRBRating,ESPN RB Rating,ESPNRB,3500,3500.00,,,1,1st
0,All Splits,Any,rushing,Rushing,longRushing,Long Rushing,LNG,38,38,23,23,26,Tied-26th
0,All Splits,Any,rushing,Rushing,miscYards,Miscellaneous Yards,MISC,0,0,,,1,Tied-1st
0,All Splits,Any,rushing,Rushing,netTotalYards,Net Total Yards,NTYDS,6119,"6,119",359,359,14,14th
0,All Splits,Any,rushing,Rushing,netYardsPerGame,Net Yards Per Game,CMP,359.94116,359.9,,,14,14th
0,All Splits,Any,rushing,Rushing,rushingAttempts,Rushing Attempts,CAR,550,550,32,32,2,2nd
0,All Splits,Any,rushing,Rushing,rushingBigPlays,20+ Yard Rushing Plays,BIG,17,17,,,5,5th
0,All Splits,Any,rushing,Rushing,rushingFirstDowns,Rushing 1st downs,FD,163,163,9,9,1,1st
0,All Splits,Any,rushing,Rushing,rushingFumbles,Rushing Fumbles,FUM,17,17,,,5,5th
0,All Splits,Any,rushing,Rushing,rushingFumblesLost,Rushing Fumbles Lost,LST,3,3,,,4,Tied-4th
0,All Splits,Any,rushing,Rushing,rushingTouchdowns,Rushing Touchdowns,TD,25,25,1,1,1,1st
0,All Splits,Any,rushing,Rushing,rushingYards,Rushing Yards,YDS,2715,"2,715",159,159,1,1st
0,All Splits,Any,rushing,Rushing,rushingYardsPerGame,Rushing Yards Per Game,YDS/G,159.706,159.7,,,1,1st
0,All Splits,Any,rushing,Rushing,stuffs,Stuffs,STF,43,43,,,22,Tied-22nd
0,All Splits,Any,rushing,Rushing,stuffYardsLost,Stuff Yards Lost,SYDSL,-92,-92,,,20,20th
0,All Splits,Any,rushing,Rushing,teamGamesPlayed,Team Games Played,GP,17,17,,,1,Tied-1st
0,All Splits,Any,rushing,Rushing,totalOffensivePlays,Total Offensive Plays,OP,1075,1075,62,62,9,9th
0,All Splits,Any,rushing,Rushing,totalPoints,Total Points,PTS,444,444,27,27,12,12th
0,All Splits,Any,rushing,Rushing,totalPointsPerGame,Total Points Per Game,TP/G,26.118,26.1,,,12,12th
0,All Splits,Any,rushing,Rushing,totalTouchdowns,Total Touchdowns,TD,50,50,2,2,12,Tied-12th
0,All Splits,Any,rushing,Rushing,totalYards,Total Yards,TYDS,6300,"6,300",359,359,14,14th
0,All Splits,Any,rushing,Rushing,totalYardsFromScrimmage,Total Yards From Scrimmage,SCRIM,6300,6300,369,369,1,Tied-1st
0,All Splits,Any,rushing,Rushing,twoPointRushConvs,Two Point Rush Conversion,2PTC,0,0,,,2,Tied-2nd
0,All Splits,Any,rushing,Rushing,twoPtRush,Two Point Rush,2PTR,2,2,1,1,3,Tied-3rd
0,All Splits,Any,rushing,Rushing,twoPtRushAttempts,Two Point Rush Attempts,CMP,2,2,1,1,7,Tied-7th
0,All Splits,Any,rushing,Rushing,yardsFromScrimmagePerGame,Yards From Scrimmage Per Game,SCRIM/G,370.58823,370.6,,,14,14th
0,All Splits,Any,rushing,Rushing,yardsPerGame,Yards Per Game,YDS/G,370.588,370.6,,,14,14th
0,All Splits,Any,rushing,Rushing,yardsPerRushAttempt,Yards Per Rush Attempt,AVG,4.936,4.9,4.947999954223633,4.948,4,4th
0,All Splits,Any,receiving,Receiving,avgGain,Average Gain,AG,586.111,586.1,,,12,12th
0,All Splits,Any,receiving,Receiving,ESPNWRRating,ESPN Widereceiver Rating,ESPNWR,5820,5820.00,,,30,30th
0,All Splits,Any,receiving,Receiving,longReception,Long Reception,LNG,91,91,37,37,1,1st
0,All Splits,Any,receiving,Receiving,miscYards,Miscellaneous Yards,MISC,0,0,,,1,Tied-1st
0,All Splits,Any,receiving,Receiving,netTotalYards,Net Total Yards,NTYDS,6119,"6,119",359,359,14,14th
0,All Splits,Any,receiving,Receiving,netYardsPerGame,Net Yards Per Game,CMP,359.94116,359.9,,,14,14th
0,All Splits,Any,receiving,Receiving,receivingBigPlays,20+ Yard Receiving Plays,BIG,51,51,,,16,Tied-16th
0,All Splits,Any,receiving,Receiving,receivingFirstDowns,Receiving First Downs,FD,167,167,,,28,Tied-28th
0,All Splits,Any,receiving,Receiving,receivingFumbles,Receiving Fumbles,FUM,9,9,,,19,Tied-19th
0,All Splits,Any,receiving,Receiving,receivingFumblesLost,Receiving Fumbles Lost,LST,2,2,,,27,Tied-27th
0,All Splits,Any,receiving,Receiving,receivingTargets,Receiving Targets,TGTS,468,468,27,27,32,32nd
0,All Splits,Any,receiving,Receiving,receivingTouchdowns,Receiving Touchdowns,TD,20,20,1,1,25,Tied-25th
0,All Splits,Any,receiving,Receiving,receivingYards,Receiving Yards,YDS,3585,"3,585",210,210,29,29th
0,All Splits,Any,receiving,Receiving,receivingYardsAfterCatch,Receiving Yards After Catch,YAC,1741,1741,102,102,22,Tied-22nd
0,All Splits,Any,receiving,Receiving,receivingYardsAtCatch,Receiving Yards At Catch,Y@C,1844,1844,108,108,28,28th
0,All Splits,Any,receiving,Receiving,receivingYardsPerGame,Receiving Yards Per Game,YDS/G,210.882,210.9,,,29,29th
0,All Splits,Any,receiving,Receiving,receptions,Receptions,REC,307,307,18,18,31,31st
0,All Splits,Any,receiving,Receiving,teamGamesPlayed,Team Games Played,GP,17,17,,,1,Tied-1st
0,All Splits,Any,receiving,Receiving,totalOffensivePlays,Total Offensive Plays,OP,1075,1075,62,62,9,9th
0,All Splits,Any,receiving,Receiving,totalPoints,Total Points,PTS,444,444,27,27,12,12th
0,All Splits,Any,receiving,Receiving,totalPointsPerGame,Total Points Per Game,TP/G,26.118,26.1,,,12,12th
0,All Splits,Any,receiving,Receiving,totalTouchdowns,Total Touchdowns,TD,50,50,2,2,12,Tied-12th
0,All Splits,Any,receiving,Receiving,totalYards,Total Yards,TYDS,6300,"6,300",359,359,14,14th
0,All Splits,Any,receiving,Receiving,totalYardsFromScrimmage,Total Yards From Scrimmage,SCRIM,6300,6300,369,369,1,Tied-1st
0,All Splits,Any,receiving,Receiving,twoPointRecConvs,Two Point Receiving Conversion,2PTC,468,468,27,27,32,32nd
0,All Splits,Any,receiving,Receiving,twoPtReception,Two Point Receptions,2PTR,3,3,1,1,3,Tied-3rd
0,All Splits,Any,receiving,Receiving,twoPtReceptionAttempts,Two Point Reception Attempts,CMP,3,3,1,1,13,Tied-13th
0,All Splits,Any,receiving,Receiving,yardsFromScrimmagePerGame,Yards From Scrimmage Per Game,SCRIM/G,370.58823,370.6,,,14,14th
0,All Splits,Any,receiving,Receiving,yardsPerGame,Yards Per Game,YDS/G,370.588,370.6,,,14,14th
0,All Splits,Any,receiving,Receiving,yardsPerReception,Yards Per Reception,AVG,11.678,11.7,11.75100040435791,11.751,6,6th
0,All Splits,Any,defensive,Defense,assistTackles,Assist Tackles,AST,537,537,29,29,17,Tied-17th
0,All Splits,Any,defensive,Defense,avgInterceptionYards,Average Interception Yards,AVG,11.833,11.8,9.104000091552734,9.104,15,15th
0,All Splits,Any,defensive,Defense,avgSackYards,Average Sack Yards,YDS/SACK,7.586,7.6,7.568999767303467,7.569,5,5th
0,All Splits,Any,defensive,Defense,avgStuffYards,Average Stuff Yards,YDS/STF,4.548,4.5,,,30,30th
0,All Splits,Any,defensive,Defense,blockedFieldGoalTouchdowns,Block Field Goal Touchdown,BFGTD,0,0,,,1,Tied-1st
0,All Splits,Any,defensive,Defense,blockedPuntTouchdowns,Blocked Punt Touchdowns,BPTD,0,0,,,8,Tied-8th
0,All Splits,Any,defensive,Defense,defensiveTouchdowns,Defensive Touchdown,TD,5,5,,,2,Tied-2nd
0,All Splits,Any,defensive,Defense,hurries,Hurries,HUR,0,0,,,1,Tied-1st
0,All Splits,Any,defensive,Defense,kicksBlocked,Kicks Blocked,KB,2,2,,,3,Tied-3rd
0,All Splits,Any,defensive,Defense,longInterception,Long Interception,LNG,51,51,,,15,15th
0,All Splits,Any,defensive,Defense,miscTouchdowns,Miscellaneous Touchdowns,MISCTD,0,0,,,7,Tied-7th
0,All Splits,Any,defensive,Defense,passesBattedDown,Passes Batted Down,BATD,0,0,,,1,Tied-1st
0,All Splits,Any,defensive,Defense,passesDefended,Passes Defended,PD,56,56,3,3,27,Tied-27th
0,All Splits,Any,defensive,Defense,twoPtReturns,Two Point Returns,2PTR,0,0,,,2,Tied-2nd
0,All Splits,Any,defensive,Defense,sacks,Sacks,SACK,29,29,1.7059999704360962,1.706,31,31st
0,All Splits,Any,defensive,Defense,sackYards,Sack Yards,SCKYDS,220,220,12.940999984741211,12.941,26,26th
0,All Splits,Any,defensive,Defense,safeties,Safeties,SAFE,0,0,,,5,Tied-5th
0,All Splits,Any,defensive,Defense,soloTackles,Solo Tackles,SOLO,726,726,38,38,21,21st
0,All Splits,Any,defensive,Defense,stuffs,Stuffs,STF,42,42,3,3,5,Tied-5th
0,All Splits,Any,defensive,Defense,stuffYards,Stuff Yards,STFYDS,191,191,,,24,24th
0,All Splits,Any,defensive,Defense,tacklesForLoss,Tackles For Loss,TFL,71,71,4.176000118255615,4.176,16,Tied-16th
0,All Splits,Any,defensive,Defense,teamGamesPlayed,Team Games Played,GP,17,17,,,1,Tied-1st
0,All Splits,Any,defensive,Defense,totalTackles,Total Tackles,TOT,1263,1263,67,67,4,4th
0,All Splits,Any,defensive,Defense,yardsAllowed,Yards Allowed,YA,0,0,,,1,Tied-1st
0,All Splits,Any,defensive,Defense,pointsAllowed,Points Allowed,PA,0,0,,,1,Tied-1st
0,All Splits,Any,defensive,Defense,onePtSafetiesMade,One Point Safeties Made,OPSM,0,0,,,1,Tied-1st
0,All Splits,Any,defensive,Defense,missedFieldGoalReturnTd,Missed Field Goal Return TD,MFGRTD,0,0,,,1,Tied-1st
0,All Splits,Any,defensive,Defense,blockedPuntEzRecTd,Blocked Punt Ez Rec TD,BPERTD,0,0,,,1,Tied-1st
0,All Splits,Any,defensiveInterceptions,Defensive Interceptions,interceptions,Interceptions,INT,12,12,,,20,Tied-20th
0,All Splits,Any,defensiveInterceptions,Defensive Interceptions,interceptionTouchdowns,Interception Touchdowns,TD,2,2,,,4,Tied-4th
0,All Splits,Any,defensiveInterceptions,Defensive Interceptions,interceptionYards,Interception Yards,YDS,142,142,8,8,18,18th
0,All Splits,Any,kicking,Kicking,avgKickoffReturnYards,Average Kickoff Return Yards,YDS/KR,18.529,18.5,15.559000015258789,15.559,1,1st
0,All Splits,Any,kicking,Kicking,avgKickoffYards,Average Kickoff Yards,YDS/K,63.247,63.2,21.854999542236328,21.855,2,2nd
0,All Splits,Any,kicking,Kicking,extraPointAttempts,Extra Point Attempts,XPA,44,44,2,2,2,2nd
0,All Splits,Any,kicking,Kicking,extraPointPct,Extra Point Percentage,XP%,100,100.0,94.11799621582031,94.118,1,Tied-1st
0,All Splits,Any,kicking,Kicking,extraPointsBlocked,Extra Point Blocked,XPB,0,0,,,1,Tied-1st
0,All Splits,Any,kicking,Kicking,extraPointsBlockedPct,Extra Points Blocked Percentage,XPB%,0,0,,,1,Tied-1st
0,All Splits,Any,kicking,Kicking,extraPointsMade,Extra Points Made,XPM,44,44,2,2,2,2nd
0,All Splits,Any,kicking,Kicking,fairCatches,Fair Catches,FC,0,0,,,1,Tied-1st
0,All Splits,Any,kicking,Kicking,fairCatchPct,Fair Catch Percentage,FC%,0,0.0,8.574000358581543,8.574,1,Tied-1st
0,All Splits,Any,kicking,Kicking,fieldGoalAttempts,Field Goal Attempts,FGA,33,33,1,1,2,Tied-2nd
0,All Splits,Any,kicking,Kicking,fieldGoalAttempts1_19,Field Goal Attempts 1-19,FGA 1-19,0,0,,,1,Tied-1st
0,All Splits,Any,kicking,Kicking,fieldGoalAttempts20_29,Field Goal Attempts 20-29,FGA 20-29,7,7,,,2,2nd
0,All Splits,Any,kicking,Kicking,fieldGoalAttempts30_39,Field Goal Attempts 30-39,FGA 30-39,10,10,,,3,3rd
0,All Splits,Any,kicking,Kicking,fieldGoalAttempts40_49,Field Goal Attempts 40-49,FGA 40-49,13,13,,,2,2nd
0,All Splits,Any,kicking,Kicking,fieldGoalAttempts50_59,Field Goal Attempts 50-59,FGA 50-59,3,3,,,4,4th
0,All Splits,Any,kicking,Kicking,fieldGoalAttempts60_99,Field Goal Attempts 60-99,FGA 60-99,0,0,,,2,Tied-2nd
0,All Splits,Any,kicking,Kicking,fieldGoalAttempts50,Field Goal Attempts 50+,FGA 50+,3,3,,,2,2nd
0,All Splits,Any,kicking,Kicking,fieldGoalAttemptYards,Field Goal Attempt Yards,FGAYDS,1230,"1,230",73,73,4,4th
0,All Splits,Any,kicking,Kicking,fieldGoalPct,Field Goal Percentage,FG%,90.909,90.9,71.56900024414062,71.569,1,1st
0,All Splits,Any,kicking,Kicking,fieldGoalsBlocked,Field Goals Blocked,FGB,1,1,,,3,3rd
0,All Splits,Any,kicking,Kicking,fieldGoalsBlockedPct,Field Goals Blocked Percentage,CMP,3.03,3.0,2.940999984741211,2.941,3,3rd
0,All Splits,Any,kicking,Kicking,fieldGoalsMade,Field Goal Made,FGM,30,30,1,1,1,1st
0,All Splits,Any,kicking,Kicking,fieldGoalsMade1_19,Field Goals Made 1-19,FGM 1-19,0,0,,,1,Tied-1st
0,All Splits,Any,kicking,Kicking,fieldGoalsMade20_29,Field Goals Made 20-29,FGM 20-29,7,7,,,2,2nd
0,All Splits,Any,kicking,Kicking,fieldGoalsMade30_39,Field Goals Made 30-39,FGM 30-39,10,10,,,3,3rd
